Zip,Total,White,Black,Asian,Biracial,Other,state_name,Male,Female,Age,Home Price,Houses,Household Income
65731,561,552,0,0,0,9,Missouri,312,249,45.2,84300.0,204.0,83083.0
65656,4477,4373,0,0,83,21,Missouri,2348,2129,50.0,159300.0,1782.0,59708.0
65658,1234,1190,2,0,34,8,Missouri,639,595,62.8,123400.0,711.0,55851.0
65753,5124,4776,107,0,184,57,Missouri,2486,2638,39.4,132300.0,1807.0,62358.0
65686,5105,4983,5,0,53,64,Missouri,2458,2647,58.6,167100.0,2083.0,77805.0
65710,1116,1100,5,0,1,10,Missouri,518,598,49.2,165200.0,469.0,61495.0
65738,18814,17542,289,310,553,120,Missouri,9496,9318,33.4,135000.0,7315.0,61812.0
65756,746,746,0,0,0,0,Missouri,429,317,31.8,155500.0,224.0,81563.0
65011,2762,2631,12,114,5,0,Missouri,1417,1345,26.6,169600.0,760.0,44806.0
65025,762,741,11,6,4,0,Missouri,379,383,39.3,162000.0,269.0,49612.0
65039,2709,2594,0,34,81,0,Missouri,1425,1284,46.0,266300.0,1001.0,93686.0
65052,3502,3408,0,0,94,0,Missouri,1967,1535,53.0,178200.0,1239.0,72852.0
65066,6232,6174,15,11,32,0,Missouri,3148,3084,47.1,124000.0,2474.0,61619.0
65079,3672,3580,14,47,31,0,Missouri,1775,1897,62.2,237700.0,1642.0,73169.0
65084,6592,6292,91,0,104,105,Missouri,3190,3402,40.1,104300.0,2419.0,53167.0
65026,11549,10964,6,80,187,312,Missouri,5637,5912,41.2,120400.0,4744.0,52396.0
65043,10509,9404,287,176,244,398,Missouri,5064,5445,37.8,141800.0,4086.0,65588.0
65058,843,828,6,0,9,0,Missouri,422,421,46.3,148800.0,373.0,56580.0
65059,845,834,0,0,11,0,Missouri,418,427,39.0,175400.0,278.0,69191.0
65076,746,730,1,14,1,0,Missouri,370,376,40.2,169600.0,272.0,73860.0
65082,1149,1077,25,1,11,35,Missouri,590,559,46.0,164500.0,363.0,70812.0
65085,1259,1247,9,0,3,0,Missouri,578,681,45.7,173800.0,502.0,66857.0
65202,48560,37272,6782,1633,2239,634,Missouri,24330,24230,33.1,153300.0,19564.0,62778.0
65233,11943,10157,1094,30,511,151,Missouri,6361,5582,39.3,138000.0,4296.0,59555.0
65237,937,918,2,0,12,5,Missouri,490,447,37.6,104400.0,360.0,65977.0
65676,398,389,0,0,9,0,Missouri,223,175,52.5,116300.0,190.0,46773.0
65543,181,181,0,0,0,0,Missouri,86,95,57.2,162500.0,113.0,38884.0
65529,224,224,0,0,0,0,Missouri,103,121,37.6,,82.0,66784.0
65535,1698,1686,0,0,12,0,Missouri,738,960,30.6,87400.0,547.0,44028.0
65542,6119,5470,492,5,36,116,Missouri,3514,2605,43.9,109200.0,1957.0,50489.0
65566,830,800,0,0,30,0,Missouri,418,412,37.9,73400.0,326.0,55014.0
65582,2451,2413,21,0,9,8,Missouri,1227,1224,44.1,121400.0,909.0,62264.0
65583,11485,9443,1140,261,371,270,Missouri,5636,5849,35.1,152800.0,4080.0,61716.0
65610,4937,4875,5,0,32,25,Missouri,2494,2443,44.9,159400.0,1939.0,69400.0
65611,1966,1885,11,8,44,18,Missouri,846,1120,60.9,182300.0,877.0,49803.0
65631,5517,5434,26,11,46,0,Missouri,2408,3109,34.2,124700.0,1893.0,62388.0
65633,3971,3781,12,6,68,104,Missouri,1926,2045,40.7,99900.0,1452.0,54527.0
65230,754,692,14,3,45,0,Missouri,361,393,40.0,59600.0,263.0,66565.0
65648,6073,5895,33,3,60,82,Missouri,3161,2912,38.2,137200.0,2234.0,65270.0
65649,1615,1584,0,0,22,9,Missouri,773,842,59.3,79600.0,686.0,77206.0
65661,2755,2669,1,0,30,55,Missouri,1287,1468,46.1,76100.0,1153.0,43690.0
65707,2281,2172,62,0,45,2,Missouri,1080,1201,44.3,104300.0,854.0,66982.0
65720,876,856,0,0,20,0,Missouri,458,418,48.5,107800.0,322.0,56622.0
65721,30430,29139,270,157,676,188,Missouri,14891,15539,36.5,161800.0,11234.0,70282.0
65730,40,40,0,0,0,0,Missouri,19,21,,,21.0,
65735,51,51,0,0,0,0,Missouri,30,21,27.8,,21.0,71043.0
